opp_id,account_id,stage,amount,created_at,closed_at,won
OP-0000001,6ed75039-0803-3183-2f04-b9331ada93f4,Closed Lost,941.63,2023-11-08,2025-11-09,false
OP-0000002,bdd9888a-dd34-d48d-6dd2-bbbc5997730a,Qualification,651.28,2025-04-12,,
OP-0000003,4902ea23-2aac-b7b8-788e-4e5ec67ec019,Closed Won,4788.85,2024-07-04,2025-10-29,true
OP-0000004,74743f21-f014-e1b9-6af9-1307fd4a4a0b,Proposal,2310.64,2025-11-16,,
OP-0000005,9eca4e3c-053c-66c4-07bc-dc97abaadefc,Closed Lost,1039.51,2024-09-28,2024-12-30,false
OP-0000006,a70a377c-e234-2044-cd85-763d1a67e556,Closed Won,3267.38,2023-10-23,2024-03-29,true
OP-0000007,e886d4e6-ded4-c4f8-7015-75379d8c2d13,Closed Won,1390.69,2025-10-10,2025-12-06,true
OP-0000008,de37d1ca-684a-0162-3e43-338ae77356cf,Closed Won,14487.72,2024-02-19,2024-10-13,true
OP-0000009,778d9a48-2a26-4a65-3ea4-f1df396f0ee6,Qualification,587.47,2024-04-27,,
OP-0000010,7d2a5995-8ffb-2ab2-229f-7016dba9f186,Closed Won,5418.03,2025-01-08,2026-04-11,true
OP-0000011,61c7e96a-ea5b-fd15-3644-45ec752a4267,Closed Lost,2580.92,2025-10-29,2025-12-17,false
OP-0000012,a29360ad-21ab-dd35-9854-8d2c906ddcbc,Closed Lost,2944.35,2023-09-02,2024-04-16,false
OP-0000013,e1ebe169-b079-cbd4-caf1-b802ca78bfec,Closed Won,2388.61,2026-04-04,2026-05-03,true
OP-0000014,c5681f6c-c427-d549-4f39-84a61dc550f0,Negotiation,665.69,2024-04-12,,
OP-0000015,22bc9caa-8285-af25-20b9-e00be46466c2,Closed Won,3050.86,2025-10-25,2025-11-29,true
OP-0000016,bdd9888a-dd34-d48d-6dd2-bbbc5997730a,Closed Lost,1015.91,2024-09-19,2025-03-03,false
OP-0000017,d5bebed1-df22-062d-ba7b-43f75b1e239e,Closed Won,15007.93,2026-01-28,2026-03-19,true
